Moniker,Main Url,Bias,Reliability,Mediatype,has_wikipedia_page,wikipedia_title,wikipedia_avg_daily_views,wikipedia_interest_score,source_prominence_score,robust_influence_score
11Alive Atlanta NBC WXIA,http://11alive.com,-3.86,45.75,Web/Articles,False,,,0.0,90,27.0
ABC News (website),https://abcnews.go.com/,-3.02,44.77,Web/Articles,False,,,0.0,90,27.0
ABC: World News Tonight with David Muir,https://abcnews.go.com/WN,-5.82,47.08,TV/Video,False,,,0.0,90,27.0
Activist Post,http://activistpost.com,16.32,17.81,Web/Articles,False,,,0.0,30,9.0
Advocate Magazine,http://advocate.com,-12.21,40.0,Web/Articles,False,,,0.0,30,9.0
Agence France-Presse,https://www.afp.com/en,-2.4,47.15,Web/Articles,True,Agence France-Presse,293.0,2.9315027322404372,30,11.05
Air Force Times,http://airforcetimes.com,1.18,46.01,Web/Articles,True,Air Force Times,5.0,0.04669398907103825,30,9.03
Al Jazeera (website),https://www.aljazeera.com,-7.27,41.28,Web/Articles,True,Al Jazeera Media Network,1578.0,15.784043715846995,30,20.05
"All In Podcast (All-In with Chamath, Jason, Sacks & Friedberg)",https://allinchamathjason.libsyn.com/website,4.5,38.27,Podcast/Audio,False,,,0.0,50,15.0
AlterNet,https://www.alternet.org/,-12.21,36.8,Web/Articles,True,AlterNet,78.0,0.779153005464481,30,9.55
American Action Forum,http://americanactionforum.org,2.0,40.28,Web/Articles,True,American Action Network,43.0,0.42688524590163934,30,9.3
American Greatness,http://amgreatness.com,22.38,19.04,Web/Articles,False,,,0.0,30,9.0
American Independent,http://americanindependent.com,-14.61,38.38,Web/Articles,True,American Independent Party,950.0,9.496311475409836,30,15.65
American Liberty Report,http://americanlibertyemail.com,29.13,10.81,Web/Articles,False,,,0.0,30,9.0
AP,https://apnews.com/,-2.38,44.82,Web/Articles,False,,,0.0,30,9.0
Arkansas Democrat-Gazette,http://arkansasonline.com,0.18,45.14,Web/Articles,True,Arkansas Democrat-Gazette,34.0,0.3413387978142077,30,9.24
Axios,https://www.axios.com/,-3.24,43.12,Web/Articles,True,Axios (website),714.0,7.137923497267759,70,26.0
Barron's,http://barrons.com,-0.39,44.78,Web/Articles,True,Barron's,92.0,0.9164754098360656,30,9.64
BBC,https://www.bbc.com/,-1.34,44.73,Web/Articles,True,BBC,5787.0,57.87491803278688,90,67.51
Before It's News,http://beforeitsnews.com,29.41,6.23,Web/Articles,True,List of miscellaneous fake news websites,86.0,0.8613880126182966,50,15.6
Big League Politics,https://bigleaguepolitics.com,24.99,18.08,Web/Articles,True,Big League Politics,10.0,0.100327868852459,30,9.07
Bill O'Reilly,http://billoreilly.com,25.55,21.72,Web/Articles,False,,,0.0,30,9.0
Blavity News,http://blavity.com,-12.25,32.61,Web/Articles,False,,,0.0,50,15.0
Bloomberg News,https://www.bloomberg.com/,-3.14,42.18,Web/Articles,True,Bloomberg News,324.0,3.2424316939890714,50,17.27
BNO News,http://bnonews.com,-0.4,46.37,Web/Articles,True,BNO News,34.0,0.3375136612021858,50,15.24
Boston Globe,http://bostonglobe.com,-7.85,41.94,Web/Articles,True,The Boston Globe,352.0,3.5228415300546447,30,11.47
Boston Herald,http://bostonherald.com,9.68,36.31,Web/Articles,True,Boston Herald,91.0,0.9146994535519126,30,9.64
Breitbart,http://www.breitbart.com/,13.51,31.08,Web/Articles,True,Breitbart News,974.0,9.741693989071038,30,15.82
Business Insider,http://businessinsider.com,-4.07,40.6,Web/Articles,True,Business Insider,509.0,5.086803278688524,30,12.56
CBN,http://cbn.com,15.17,34.2,Web/Articles,False,,,0.0,30,9.0
CBS News (website),https://www.cbsnews.com/,-3.04,41.87,Web/Articles,True,CBS News,432.0,4.324617486338798,90,30.03
CBS: 60 Minutes,https://www.cbs.com/shows/60_minutes/,-9.55,34.19,TV/Video,True,CBS,2265.0,22.653360655737707,90,42.86
Chapo Trap House,https://soundcloud.com/chapo-trap-house,-28.83,20.87,Podcast/Audio,True,Chapo Trap House,707.0,7.067240437158469,30,13.95
Chicago Sun-Times,http://suntimes.com,-4.35,45.44,Web/Articles,True,Chicago Sun-Times,227.0,2.2724043715846993,30,10.59
Christian Science Monitor,https://www.csmonitor.com/,-2.52,44.23,Web/Articles,True,The Christian Science Monitor,241.0,2.411065573770492,30,10.69
Christianity Today,http://christianitytoday.com,5.39,41.75,Web/Articles,True,Christianity Today,121.0,1.206311475409836,30,9.84
Chron.com,http://chron.com,-0.6,46.63,Web/Articles,True,Chron.com,1.0,0.0146045197740113,30,9.01
City Journal,http://city-journal.org,10.21,35.0,Web/Articles,True,City Journal,50.0,0.49521857923497264,30,9.35
Climate News,http://climate.news,12.08,19.59,Web/Articles,False,,,0.0,50,15.0
CNBC (website),http://cnbc.com,-1.81,43.77,Web/Articles,True,CNBC,728.0,7.2810109289617495,90,32.1
CNET,http://cnet.com,-1.39,40.02,Web/Articles,True,CNET,238.0,2.3841256830601094,30,10.67
CNN (website),https://www.cnn.com/,-6.19,42.13,Web/Articles,True,CNN,2639.0,26.39308743169399,90,45.48
CNN: Anderson Cooper 360,https://www.cnn.com/shows/ac-360,-14.65,33.76,TV/Video,True,CNN,2639.0,26.39308743169399,90,45.48
CNN: The Situation Room,https://www.cnn.com/shows/situation-room,-11.19,42.0,TV/Video,True,CNN,2639.0,26.39308743169399,90,45.48
Columbia Journalism Review,http://cjr.org,-6.26,43.33,Web/Articles,True,Columbia Journalism Review,35.0,0.3451092896174863,30,9.24
Common Dreams,http://commondreams.org,-16.86,38.91,Web/Articles,True,Common Dreams,44.0,0.44008196721311477,30,9.31
Consortium News,http://consortiumnews.com,-16.38,23.1,Web/Articles,True,Robert Parry (journalist),28.0,0.28295081967213115,50,15.2
Cosmopolitan,http://cosmopolitan.com,-13.65,23.43,Web/Articles,True,Cosmopolitan (magazine),375.0,3.7455737704918035,30,11.62
CounterPunch,http://counterpunch.org,-21.65,21.1,Web/Articles,True,CounterPunch,60.0,0.5981693989071037,30,9.42
Crooks and Liars,http://crooksandliars.com,-21.1,21.53,Web/Articles,True,Crooks and Liars,40.0,0.39543715846994537,30,9.28
Daily Beast,https://www.thedailybeast.com/,-10.53,31.6,Web/Articles,True,The Daily Beast,725.0,7.245409836065574,30,14.07
Daily Caller,https://dailycaller.com/,12.88,34.45,Web/Articles,True,The Daily Caller,437.0,4.3674043715846995,30,12.06
Daily Dot,http://dailydot.com,-9.74,25.56,Web/Articles,True,The Daily Dot,88.0,0.8816939890710382,30,9.62
Daily Kos,https://www.dailykos.com/,-17.68,27.23,Web/Articles,True,Daily Kos,134.0,1.3437158469945356,30,9.94
Daily Mail,https://www.dailymail.co.uk/,4.6,30.89,Web/Articles,True,Daily Mail,1520.0,15.195956284153006,90,37.64
Daily Wire,https://www.dailywire.com/,13.15,31.0,Web/Articles,True,The Daily Wire,1691.0,16.911448087431694,30,20.84
Dallas Morning News,http://dallasnews.com,-1.91,43.65,Web/Articles,True,The Dallas Morning News,81.0,0.8145901639344263,50,15.57
Democracy Now! (website),https://www.democracynow.org/,-16.15,31.68,Web/Articles,True,Democracy Now!,313.0,3.127786885245902,30,11.19
Deseret News,http://deseret.com,2.11,42.29,Web/Articles,True,Deseret News,98.0,0.9757103825136612,50,15.68
Detroit Free Press,http://freep.com,-5.43,43.46,Web/Articles,True,Detroit Free Press,92.0,0.9214754098360656,30,9.65
Financial Times,https://www.ft.com/,-4.08,44.22,Web/Articles,True,Financial Times,839.0,8.386502732240437,30,14.87
Fiscal Times,http://www.thefiscaltimes.com/,-4.18,43.33,Web/Articles,True,The Fiscal Times,3.0,0.032021857923497266,30,9.02
Forbes,https://www.forbes.com/,-2.87,40.63,Web/Articles,True,Forbes,1863.0,18.633715846994534,30,22.04
Foreign Affairs,http://foreignaffairs.com,-7.39,43.65,Web/Articles,True,Foreign Affairs,232.0,2.31879781420765,30,10.62
Foreign Policy,https://foreignpolicy.com/,-4.05,42.63,Web/Articles,True,Foreign Policy,200.0,1.9959016393442623,30,10.4
Fortune,http://fortune.com/,-2.82,36.91,Web/Articles,True,Fortune (magazine),343.0,3.430601092896175,30,11.4
Forward,http://forward.com,-7.37,40.45,Web/Articles,True,The Forward,132.0,1.321120218579235,30,9.92
Fox Business (website),http://foxbusiness.com,9.05,38.61,Web/Articles,True,Fox Business,167.0,1.6744535519125683,30,10.17
Fox Business: The Claman Countdown,https://www.foxbusiness.com/shows/the-claman-countdown,2.33,43.22,TV/Video,True,Fox Business,167.0,1.6744535519125683,30,10.17
Fox News (website),http://foxnews.com/,11.06,35.31,Web/Articles,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News Sunday with Shannon Bream,https://www.foxnews.com/shows/fox-news-sunday,10.3,40.29,TV/Video,False,,,0.0,90,27.0
Fox News: Fox & Friends,https://www.foxnews.com/shows/fox-and-friends,20.37,30.06,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: Gutfeld!,https://www.foxnews.com/shows/gutfeld,16.5,25.56,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: Hannity,https://www.foxnews.com/shows/hannity,23.88,17.93,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: Jesse Watters Primetime,https://www.foxnews.com/shows/jesse-watters-primetime,22.96,18.58,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: Special Report w/ Bret Baier,https://www.foxnews.com/shows/special-report,10.44,43.41,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: The Five,https://www.foxnews.com/shows/the-five,16.75,27.03,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: The Ingraham Angle,https://www.foxnews.com/shows/ingraham-angle,24.5,20.63,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Fox News: The Journal Editorial Report,https://www.foxnews.com/shows/journal-editorial-report,8.22,39.89,TV/Video,True,Fox News,2493.0,24.931147540983606,90,44.45
Glenn Beck,http://glennbeck.com,23.41,21.21,Web/Articles,True,Glenn Beck,1142.0,11.420218579234973,30,16.99
Heritage Foundation,http://heritage.org,15.96,28.68,Web/Articles,True,The Heritage Foundation,3500.0,34.99674863387978,30,33.5
Hill Reporter,http://hillreporter.com,-13.11,32.56,Web/Articles,False,,,0.0,30,9.0
HuffPost,https://www.huffpost.com/,-10.49,38.1,Web/Articles,True,HuffPost,682.0,6.822540983606557,90,31.78
In These Times,http://inthesetimes.com,-18.09,33.27,Web/Articles,False,,,0.0,30,9.0
Independent Journal Review,http://ijr.com,12.68,26.05,Web/Articles,True,Independent Journal Review,23.0,0.2303551912568306,30,9.16
InfoWars,https://www.infowars.com/,23.46,15.9,Web/Articles,True,Infowars,43.0,0.43142076502732235,30,9.3
InfoWars: The Alex Jones Show,https://www.infowars.com/show/the-alex-jones-show/,31.67,6.67,TV/Video,True,Infowars,43.0,0.43142076502732235,50,15.3
