Moniker,Main Url,Bias,Reliability,Mediatype
11Alive Atlanta NBC WXIA,http://11alive.com,-3.86,45.75,Web/Articles
ABC News (website),https://abcnews.go.com/,-3.02,44.77,Web/Articles
ABC: World News Tonight with David Muir,https://abcnews.go.com/WN,-5.82,47.08,TV/Video
Activist Post,http://activistpost.com,16.32,17.81,Web/Articles
Advocate Magazine,http://advocate.com,-12.21,40.00,Web/Articles
Agence France-Presse,https://www.afp.com/en,-2.40,47.15,Web/Articles
Air Force Times,http://airforcetimes.com,1.18,46.01,Web/Articles
Al Jazeera (website),https://www.aljazeera.com,-7.27,41.28,Web/Articles
"All In Podcast (All-In with Chamath, Jason, Sacks & Friedberg)",https://allinchamathjason.libsyn.com/website,4.50,38.27,Podcast/Audio
AlterNet,https://www.alternet.org/,-12.21,36.80,Web/Articles
American Action Forum,http://americanactionforum.org,2.00,40.28,Web/Articles
American Greatness,http://amgreatness.com,22.38,19.04,Web/Articles
American Independent,http://americanindependent.com,-14.61,38.38,Web/Articles
American Liberty Report,http://americanlibertyemail.com,29.13,10.81,Web/Articles
AP,https://apnews.com/,-2.38,44.82,Web/Articles
Arkansas Democrat-Gazette,http://arkansasonline.com,0.18,45.14,Web/Articles
Axios,https://www.axios.com/,-3.24,43.12,Web/Articles
Barron's,http://barrons.com,-0.39,44.78,Web/Articles
BBC,https://www.bbc.com/,-1.34,44.73,Web/Articles
Before It's News,http://beforeitsnews.com,29.41,6.23,Web/Articles
Big League Politics,https://bigleaguepolitics.com,24.99,18.08,Web/Articles
Bill O'Reilly,http://billoreilly.com,25.55,21.72,Web/Articles
Blavity News,http://blavity.com,-12.25,32.61,Web/Articles
Bloomberg News,https://www.bloomberg.com/,-3.14,42.18,Web/Articles
BNO News,http://bnonews.com,-0.40,46.37,Web/Articles
Boston Globe,http://bostonglobe.com,-7.85,41.94,Web/Articles
Boston Herald,http://bostonherald.com,9.68,36.31,Web/Articles
Breitbart,http://www.breitbart.com/,13.51,31.08,Web/Articles
Business Insider,http://businessinsider.com,-4.07,40.60,Web/Articles
CBN,http://cbn.com,15.17,34.20,Web/Articles
CBS News (website),https://www.cbsnews.com/,-3.04,41.87,Web/Articles
CBS: 60 Minutes,https://www.cbs.com/shows/60_minutes/,-9.55,34.19,TV/Video
Chapo Trap House,https://soundcloud.com/chapo-trap-house,-28.83,20.87,Podcast/Audio
Chicago Sun-Times,http://suntimes.com,-4.35,45.44,Web/Articles
Christian Science Monitor,https://www.csmonitor.com/,-2.52,44.23,Web/Articles
Christianity Today,http://christianitytoday.com,5.39,41.75,Web/Articles
Chron.com,http://chron.com,-0.60,46.63,Web/Articles
City Journal,http://city-journal.org,10.21,35.00,Web/Articles
Climate News,http://climate.news,12.08,19.59,Web/Articles
CNBC (website),http://cnbc.com,-1.81,43.77,Web/Articles
CNET,http://cnet.com,-1.39,40.02,Web/Articles
CNN (website),https://www.cnn.com/,-6.19,42.13,Web/Articles
CNN: Anderson Cooper 360,https://www.cnn.com/shows/ac-360,-14.65,33.76,TV/Video
CNN: The Situation Room,https://www.cnn.com/shows/situation-room,-11.19,42.00,TV/Video
Columbia Journalism Review,http://cjr.org,-6.26,43.33,Web/Articles
Common Dreams,http://commondreams.org,-16.86,38.91,Web/Articles
Consortium News,http://consortiumnews.com,-16.38,23.10,Web/Articles
Cosmopolitan,http://cosmopolitan.com,-13.65,23.43,Web/Articles
CounterPunch,http://counterpunch.org,-21.65,21.10,Web/Articles
Crooks and Liars,http://crooksandliars.com,-21.10,21.53,Web/Articles
Daily Beast,https://www.thedailybeast.com/,-10.53,31.60,Web/Articles
Daily Caller,https://dailycaller.com/,12.88,34.45,Web/Articles
Daily Dot,http://dailydot.com,-9.74,25.56,Web/Articles
Daily Kos,https://www.dailykos.com/,-17.68,27.23,Web/Articles
Daily Mail,https://www.dailymail.co.uk/,4.60,30.89,Web/Articles
Daily Wire,https://www.dailywire.com/,13.15,31.00,Web/Articles
Dallas Morning News,http://dallasnews.com,-1.91,43.65,Web/Articles
Democracy Now! (website),https://www.democracynow.org/,-16.15,31.68,Web/Articles
Deseret News,http://deseret.com,2.11,42.29,Web/Articles
Detroit Free Press,http://freep.com,-5.43,43.46,Web/Articles
Financial Times,https://www.ft.com/,-4.08,44.22,Web/Articles
Fiscal Times,http://www.thefiscaltimes.com/,-4.18,43.33,Web/Articles
Forbes,https://www.forbes.com/,-2.87,40.63,Web/Articles
Foreign Affairs,http://foreignaffairs.com,-7.39,43.65,Web/Articles
Foreign Policy,https://foreignpolicy.com/,-4.05,42.63,Web/Articles
Fortune,http://fortune.com/,-2.82,36.91,Web/Articles
Forward,http://forward.com,-7.37,40.45,Web/Articles
Fox Business (website),http://foxbusiness.com,9.05,38.61,Web/Articles
Fox Business: The Claman Countdown,https://www.foxbusiness.com/shows/the-claman-countdown,2.33,43.22,TV/Video
Fox News (website),http://foxnews.com/,11.06,35.31,Web/Articles
Fox News Sunday with Shannon Bream,https://www.foxnews.com/shows/fox-news-sunday,10.30,40.29,TV/Video
Fox News: Fox & Friends,https://www.foxnews.com/shows/fox-and-friends,20.37,30.06,TV/Video
Fox News: Gutfeld!,https://www.foxnews.com/shows/gutfeld,16.50,25.56,TV/Video
Fox News: Hannity,https://www.foxnews.com/shows/hannity,23.88,17.93,TV/Video
Fox News: Jesse Watters Primetime,https://www.foxnews.com/shows/jesse-watters-primetime,22.96,18.58,TV/Video
Fox News: Special Report w/ Bret Baier,https://www.foxnews.com/shows/special-report,10.44,43.41,TV/Video
Fox News: The Five,https://www.foxnews.com/shows/the-five,16.75,27.03,TV/Video
Fox News: The Ingraham Angle,https://www.foxnews.com/shows/ingraham-angle,24.50,20.63,TV/Video
Fox News: The Journal Editorial Report,https://www.foxnews.com/shows/journal-editorial-report,8.22,39.89,TV/Video
Glenn Beck,http://glennbeck.com,23.41,21.21,Web/Articles
Heritage Foundation,http://heritage.org,15.96,28.68,Web/Articles
Hill Reporter,http://hillreporter.com,-13.11,32.56,Web/Articles
HuffPost,https://www.huffpost.com/,-10.49,38.10,Web/Articles
In These Times,http://inthesetimes.com,-18.09,33.27,Web/Articles
Independent Journal Review,http://ijr.com,12.68,26.05,Web/Articles
InfoWars,https://www.infowars.com/,23.46,15.90,Web/Articles
InfoWars: The Alex Jones Show,https://www.infowars.com/show/the-alex-jones-show/,31.67,6.67,TV/Video
Inquisitr,http://inquisitr.com,-7.24,32.92,Web/Articles
Jacobin,http://jacobin.com,-21.47,31.69,Web/Articles
Jezebel,http://jezebel.com,-18.20,28.94,Web/Articles
Judicial Watch,http://judicialwatch.org,23.08,23.83,Web/Articles
Just the News,http://justthenews.com,10.90,32.56,Web/Articles
LA Times,https://www.latimes.com/,-6.35,42.86,Web/Articles
Louder With Crowder,http://louderwithcrowder.com,29.71,10.19,Podcast/Audio
MarketWatch,https://www.marketwatch.com/,-3.88,40.93,Web/Articles
Media Matters for America,http://mediamatters.org,-15.06,26.45,Web/Articles
MEDIAite,http://mediaite.com,-8.90,33.57,Web/Articles
MeidasTouch News,http://meidasnews.com,-19.05,22.55,Web/Articles
Mercola,http://mercola.com,18.07,14.53,Web/Articles
Miami Herald,http://miamiherald.com,-8.24,38.74,Web/Articles
Mirror - UK,https://www.mirror.co.uk,-3.41,26.88,Web/Articles
Mother Jones,https://www.motherjones.com/,-15.08,35.80,Web/Articles
MSNBC (website),http://msnbc.com/,-13.89,34.60,Web/Articles
MSNBC TV Network,https://www.msnbc.com/schedule,-17.83,28.50,TV/Video
MSNBC: All In with Chris Hayes,https://www.msnbc.com/all,-18.43,22.40,TV/Video
MSNBC: The Briefing with Jen Psaki,https://www.msnbc.com/jen-psaki,-19.11,25.48,TV/Video
MSNBC: The Last Word with Lawrence O'Donnell,https://www.msnbc.com/the-last-word,-19.61,28.48,TV/Video
MSNBC: The Rachel Maddow Show,https://www.msnbc.com/rachel-maddow-show,-17.89,35.15,TV/Video
National Catholic Register,http://ncregister.com,11.37,31.78,Web/Articles
National Review,https://www.nationalreview.com/,12.85,31.30,Web/Articles
Natural News,http://naturalnews.com,28.10,9.27,Web/Articles
NBC News (website),https://www.nbcnews.com,-5.62,42.77,Web/Articles
New Republic,https://newrepublic.com/,-16.83,29.78,Web/Articles
New York Post,https://nypost.com/,9.33,31.79,Web/Articles
New York Sun,http://nysun.com,12.84,31.50,Web/Articles
NewsBusters,https://www.newsbusters.org,20.48,19.99,Web/Articles
Newsday,http://newsday.com,-3.51,46.71,Web/Articles
Newser,http://newser.com,-5.52,36.83,Web/Articles
Newsmax (website),https://www.newsmax.com/,13.44,29.10,Web/Articles
NewsNation (website),http://newsnationnow.com,0.22,42.98,Web/Articles
NewsNation: The Hill,https://www.newsnationnow.com/the-hill/,4.33,34.11,TV/Video
NewsTarget,http://newstarget.com,29.87,7.74,Web/Articles
Newsweek,http://newsweek.com,-1.81,39.11,Web/Articles
NPR (website),https://www.npr.org/,-4.23,43.10,Web/Articles
NPR News Now,https://www.npr.org/podcasts/500005/npr-news-now,-0.28,49.33,Podcast/Audio
NPR: Code Switch,https://www.npr.org/podcasts/510312/codeswitch,-16.54,36.87,Podcast/Audio
NPR: Up First,https://www.npr.org/podcasts/510318/up-first,-9.44,43.07,Podcast/Audio
NutriTruth,http://nutritruth.org,26.29,8.00,Web/Articles
NY Daily News,http://nydailynews.com,-8.10,34.12,Web/Articles
